城市,月份,住宅类型,面积段,环比,同比,定基,累计平均,来源URL
大连,2024-01,二手住宅,144m2以上,99.4,94.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
长春,2024-01,新建商品住宅,全部,100.2,98.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
长春,2024-01,二手住宅,全部,99.5,94.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
长春,2024-01,新建商品住宅,90m2及以下,100.1,98.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
长春,2024-01,新建商品住宅,90-144m2,100.3,98.1,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
长春,2024-01,新建商品住宅,144m2以上,100.3,99.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
长春,2024-01,二手住宅,90m2及以下,99.4,95.0,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
长春,2024-01,二手住宅,90-144m2,99.6,94.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
长春,2024-01,二手住宅,144m2以上,99.9,94.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
哈尔滨,2024-01,新建商品住宅,全部,99.8,98.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
哈尔滨,2024-01,二手住宅,全部,99.6,95.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
哈尔滨,2024-01,新建商品住宅,90m2及以下,100.1,98.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
哈尔滨,2024-01,新建商品住宅,90-144m2,99.7,99.0,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
哈尔滨,2024-01,新建商品住宅,144m2以上,99.8,97.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
哈尔滨,2024-01,二手住宅,90m2及以下,99.7,95.3,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
哈尔滨,2024-01,二手住宅,90-144m2,99.5,95.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
哈尔滨,2024-01,二手住宅,144m2以上,99.3,95.1,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
上海,2024-01,新建商品住宅,全部,100.4,104.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
上海,2024-01,二手住宅,全部,99.2,95.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
上海,2024-01,新建商品住宅,90m2及以下,100.4,103.3,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
上海,2024-01,新建商品住宅,90-144m2,100.1,103.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
上海,2024-01,新建商品住宅,144m2以上,100.9,105.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
